id,degree,betweenesscentrality,weighted degree
9b1fe2780eb711ec,2,24790.09,5
dd19579949ea3580,1,0.00,5
8a014cbb711ee120,2,24790.09,5
060c1a43,5,77.19,5
0489ce3fc144e605,2,24790.09,5
ac77b71a711ee120,2,24790.09,5
47f968fc04f5b394,2,24790.09,5
07875ea45096d134,2,24790.09,5
7fb885a04ea23a13,1,0.00,5
57cd40066332421a,1,0.00,5
8f805639,1,0.00,5
a6df415d8a4875bd,2,24790.09,5
1ed9566a5db079b5,1,0.00,5
3f797953,4,6.00,5
f4875a9f,1,0.00,5
51ae5552900981af,5,45.12,5
431b31746332421a,2,24790.09,5
98d2611bd787e91b,1,0.00,5
bcca3c056ce25010,1,0.00,5
1cf29716711ee120,1,0.00,5
7679058a277e7b8c,1,0.00,5
20fe9a1681b42528,2,53386.09,5
d3217aa6be6db1d7,1,0.00,5
e8110bf74ea23a13,1,0.00,5
9b1fe278a0f5f879,2,24790.09,5
88f7ef6e,4,128.76,5
ae7c0b77900981af,5,28.07,5
c65633082203a096,2,24790.09,5
8a014cbb8a4875bd,1,0.00,5
20f24b4a900981af,5,80.46,5
7f629af8,2,1.00,5
a7d26b9c,1,0.00,5
53b5090616954458,1,0.00,5
936e92fb,1,0.00,5
a4497761,1,0.00,5
0d97e0e94ea23a13,1,0.00,5
07875ea4d787e91b,1,0.00,5
72ad45a56332421a,2,53386.09,5
427daef9,5,24.37,5
2702549da5a2318d,1,0.00,5
ac77b71aa0f5f879,1,0.00,5
791e07fa,1,0.00,5
82ef09a5,5,10.00,5
f4dbe1f8be87996b,1,0.00,5
96d5669e76dc4769,1,0.00,5
57cd40063bd9e8e7,2,24790.09,5
d9012b595db079b5,1,0.00,5
75bb1b583bd9e8e7,2,24790.09,5
82a51fc9,4,6.00,5
35f0a8a143a30462,1,0.00,5
045f512548fdda0b,3,34294.76,5
5aaef49b65c93b38,1,0.00,5
6cde91fc5ec45883,1,0.00,5
75bb1b58711ee120,2,24790.09,5
75bb1b5884ebbcd4,2,41122.38,5
488a9a3e8a4875bd,2,24790.09,5
1b5b57d1,1,0.00,5
b83fa2a15dee1d65,2,24790.09,5
7592afe71f0bc64f,1,0.00,5
8f7132f24ea23a13,3,119298.55,5
1bcf241384ebbcd4,1,0.00,5
fd13bc73,5,10.00,5
59ac940dd787e91b,2,24790.09,5
1ccde0ec4ea23a13,2,53386.09,5
2e6b11908ce34352,1,0.00,5
94d1e2b3,1,0.00,5
244f6bc83de05cb4,1,0.00,5
1cf29716d787e91b,2,24790.09,5
6b9769f2f39b265e,2,24790.09,5
1cf297163bd9e8e7,2,24790.09,5
fe0a5d1c158e4944,2,24790.09,5
ddd2926e3bd9e8e7,2,24790.09,5
689cffa38d7eb102,1,0.00,5
bfa272183421dfe4,1,0.00,5
cefc65faa0f5f879,1,0.00,5
adbcd793191e9c26,1,0.00,5
27f51eb7d787e91b,1,0.00,5
02a5a865900981af,5,41.17,5
99e58464be87996b,1,0.00,5
10256cedcab7ad1c,1,0.00,5
131cef16,1,0.00,5
26879bad7eef184d,1,0.00,5
a8536f3a2203a096,2,57962.38,5
50d86760d787e91b,1,0.00,5
f415c8a8,5,10.00,5
ac8262223bd9e8e7,1,0.00,5
c6563308a5bce124,2,53386.09,5
0cda2987158e4944,2,53386.09,5
99c72809d787e91b,1,0.00,5
f8c8df20be87996b,1,0.00,4
cede6db1a0f5f879,1,0.00,4
0b697be11f0bc64f,1,0.00,4
23182210feb70d53,2,194277.39,4
f9efa0f05096d134,1,0.00,4
25635c83,1,0.00,4
1cf29716a0f5f879,2,24790.09,4
233d92207fdd04d2,2,11317.00,4
b9cfd01cf50d4405,1,0.00,4
6c3237d53e7932d7,3,31554.99,4
25ee21fb900981af,4,17.72,4
aa42be81f07e20f8,1,0.00,4
e1576d19eee53df3,1,0.00,4
15221e075096d134,1,0.00,4
6b4040e61f0bc64f,1,0.00,4
040a0104a5bce124,1,0.00,4
7dbada6ec5cc73c1,1,0.00,4
944f704d04f5b394,1,0.00,4
6b9769f2aaffed8f,1,0.00,4
196c2d2bf39b265e,1,0.00,4
a699e4471ccc7835,1,0.00,4
23a11a0ec6263d8a,1,0.00,4
db076e7f56cfb4f8,1,0.00,4
cd8c096f1aa0e912,2,53386.09,4
6527330181b42528,1,0.00,4
e09adcd2f39b265e,1,0.00,4
5fbba533d787e91b,1,0.00,4
95b2935e84ebbcd4,1,0.00,4
1533710f5e42d307,1,0.00,4
a8536f3a84ebbcd4,2,41122.38,4
bca8f26d711ee120,3,119298.55,4
a1dc6eb1900981af,4,20.13,4
a6fcfe1d76dc4769,1,0.00,4
3b9ab74d,1,0.00,4
0cdd09861ccc7835,2,17901.30,4
b8e2ba91,1,0.00,4
57cd40068a4875bd,2,24790.09,4
2b1e7f721f0bc64f,1,0.00,4
971c25a31aa0e912,1,0.00,4
87853c7a6332421a,1,0.00,4
e2f09b6748fdda0b,2,10570.78,4
b5ef7eb2c6263d8a,1,0.00,4
38c8641d,1,0.00,4
ceffea691f0bc64f,2,24790.09,4
9b1fe278ecb851b2,1,0.00,4
1fa2523f0153a639,2,24790.09,4
48c6a9e64ea23a13,1,0.00,4
d5b9a501900981af,4,47.98,4
0253dee1b4191635,1,0.00,4
3e38bb0c,1,0.00,4
16688cb51aa0e912,1,0.00,4
0e709ae0,1,0.00,4
398acc9c8a4875bd,3,34294.76,4
32a83084d25693ce,1,0.00,4
44c4d2f31f0bc64f,1,0.00,4
431b317481b42528,1,0.00,4
066a13bd,1,0.00,4
05b4dec7711ee120,1,0.00,4
0489ce3f711ee120,2,53386.09,4
10de6de41ccc7835,2,24790.09,4
8645dff4,1,0.00,4
6b24b2dea0f5f879,2,24790.09,4
0d0592f1711ee120,1,0.00,4
a282e0fa76dc4769,2,24752.00,4
8884b767711ee120,1,0.00,4
622cac33,1,0.00,4
4799c724,1,0.00,4
32c9e9ee900981af,3,20.37,4
a9b77b5e,1,0.00,4
cb47c375ecb851b2,2,24790.09,4
bd3d9086,1,0.00,4
2471bfbc,3,3.00,4
57cd4006d787e91b,2,24790.09,4
7ed30f6cc6263d8a,2,234443.41,4
d262cf1e,4,6.00,4
cff9be8d04f5b394,2,53386.09,4
13780a08c144e605,1,0.00,4
726b9bc68ba13a25,1,0.00,4
37b3fd2c3bd9e8e7,1,0.00,4
03ed7d8c1f0bc64f,3,119298.55,4
ceffea693bd9e8e7,1,0.00,4
01f2430b,1,0.00,4
967b2902d787e91b,1,0.00,4
45a7e14b8a4875bd,1,0.00,4
845e90417abbbd5c,1,0.00,4
488a9a3e711ee120,2,24790.09,4
a6df415dd787e91b,2,24790.09,4
2135cad1,4,72.09,4
7f8445a136d749e5,2,53386.09,4
a1dc9430d4897fef,2,82.35,4
192c6fc5,1,0.00,4
aff2b57584ebbcd4,1,0.00,4
c059d275,1,0.00,4
6b9769f2edead9f4,2,24790.09,4
2e089756ecb851b2,2,24790.09,4
7382ecd5be6db1d7,1,0.00,4
3866c65b779d90c2,1,0.00,4
153c969f48fdda0b,4,26483.68,4
54d920aa,4,6.00,4
c61a9367711ee120,1,0.00,4
2bee71e7711ee120,1,0.00,4
e54c13448a4875bd,2,24790.09,4
b4598159,4,6.00,4
a8536f3a4ea23a13,2,53386.09,4
488a9a3eecb851b2,2,24790.09,4
4a8b5e905096d134,1,0.00,4
a6e14e1f1f0bc64f,2,24790.09,4
e3d9ca35,4,6.00,4
6b9769f28b1aa260,2,24790.09,4
13d2d4dd711ee120,2,53386.09,4
e1c303b699e427c9,1,0.00,4
170c230d1ef8035c,1,0.00,4
8a014cbb3bd9e8e7,2,24790.09,4
68317eea5096d134,2,53386.09,4
c5ce9f37c6263d8a,2,24790.09,4
0f67bd7b,1,0.00,4
9aa51ce1f39b265e,2,24790.09,4
fcc615161f0bc64f,1,0.00,4
1c256feb711ee120,1,0.00,4
7a25e9e40b188ab3,1,0.00,4
e8a51593573eaa36,3,28512.41,4
884297d21f0bc64f,1,0.00,4
596c4c080bafdab8,1,0.00,4
7fb05a2118d8fb90,1,0.00,4
95b2935e1f0bc64f,1,0.00,4
8a014cbb1ccc7835,2,24790.09,4
338536319bf61ad2,3,20816.73,4
93921af2f07e20f8,1,0.00,4
3348f73b,1,0.00,4
dab96c996332421a,1,0.00,4
1cf297164ea23a13,1,0.00,4
13b1743f1f0bc64f,1,0.00,4
c75d84b15096d134,1,0.00,4
8a014cbbd787e91b,2,24790.09,4
0c82a502,1,0.00,4
285263b0d780319b,1,0.00,4
694a9718de38939a,3,31554.99,4
0489ce3f3bd9e8e7,1,0.00,4
71ba7a2724f6b932,1,0.00,4
93a2ab43,3,3.00,4
e431a9ead787e91b,1,0.00,4
f242c8a4293291c1,1,0.00,4
57cd40061f0bc64f,2,24790.09,4
2b4fbd55fba60933,1,0.00,4
5d081a58711ee120,1,0.00,4
be5f095f6332421a,1,0.00,4
df048b6ed787e91b,1,0.00,4
0accc2999c7b6730,1,0.00,4
ac1432414ea23a13,1,0.00,4
f4d043d501d61ca2,1,0.00,4
2a9c658a1ccc7835,1,0.00,4
1cb2f518,4,6.00,4
5664de61,1,0.00,4
ac473735711ee120,2,24790.09,4
b1da6641a5bce124,1,0.00,4
6d30b5d8,1,0.00,4
665810f3779d90c2,2,24790.09,4
8eb51743a0f5f879,1,0.00,4
431b3174aaffed8f,2,53386.09,4
b5da80ca5096d134,1,0.00,4
b50ad82ee9b8d8d7,1,0.00,4
ceffea69a0f5f879,2,24790.09,4
b3e07718,4,33948.00,4
6427d62c8a4875bd,1,0.00,4
af54dec681b42528,1,0.00,4
452bed30,3,7.00,4
27f3fa06711ee120,2,53386.09,4
9a2031630eb711ec,1,0.00,4
6b9769f28571106b,1,0.00,4
693bff3e8a4875bd,1,0.00,4
3774a03ed787e91b,3,4741.75,4
693bff3e56f254f5,2,24790.09,4
7a9aa13f84ebbcd4,1,0.00,4
c73976ff24399af1,1,0.00,4
a2098eaf,1,0.00,4
9ba059e7711ee120,2,53386.09,4
ddd2926e8a4875bd,2,24790.09,4
9fe3fa05779d90c2,2,24790.09,4
1cf297166332421a,2,24790.09,4
ceffea69711ee120,2,24790.09,4
88d004bc1ccc7835,3,119298.55,4
205812778a4875bd,1,0.00,4
c65d955036d749e5,1,0.00,4
54fa7ff76ce25010,1,0.00,4
a8536f3ad787e91b,2,24790.09,4
fea8da2205e70df4,1,0.00,4
a562b655,4,6.00,4
e8399a540d9ae625,1,0.00,4
9ddfd651,1,0.00,4
07875ea4aaffed8f,1,0.00,3
e62f1261,1,0.00,3
a304f459d787e91b,1,0.00,3
df373817,1,0.00,3
2496fbc2cc51a2e1,2,53386.09,3
e56d1ac18a4875bd,1,0.00,3
598b6ac9,1,0.00,3
8fa8b449a5bce124,1,0.00,3
addff4137dc3b26e,2,53386.09,3
86c2fd11c6263d8a,2,53386.09,3
728f6833c730b3c6,2,57962.38,3
88dcdab80ff80b9d,1,0.00,3
5aa349271f0bc64f,1,0.00,3
00defbe7cabc6075,1,0.00,3
bca8f26da0f5f879,2,24790.09,3
37b3c191f87e93a5,1,0.00,3
884297d2711ee120,1,0.00,3
676617bf6332421a,1,0.00,3
233ecd0b,1,0.00,3
a5a696cd8a4875bd,2,24790.09,3
5272502d,1,0.00,3
40e2ce1836d749e5,2,53386.09,3
07875ea4f07e20f8,1,0.00,3
16bec85024f6b932,1,0.00,3
487644301c6a881d,3,14672.75,3
e05297ae84ebbcd4,2,41122.38,3
75ca5372e9b8d8d7,1,0.00,3
ddd2926e711ee120,1,0.00,3
6b9769f23bd9e8e7,1,0.00,3
520268730153a639,2,24790.09,3
a1230d808a4875bd,1,0.00,3
e94347fd,1,0.00,3
d443f6a5ae5e1424,3,13151.27,3
38ca6f9d0d2aee01,1,0.00,3
6cb4b1131f0bc64f,1,0.00,3
448e6432d25693ce,1,0.00,3
c13faae7275fc61c,3,31554.99,3
7bcf96f2293291c1,2,90480.00,3
f47c6c57258766e2,1,0.00,3
c754946704258293,1,0.00,3
6f48700cbe6db1d7,1,0.00,3
b34a5cfb,1,0.00,3
6998ef5b8a4875bd,1,0.00,3
4ddd2e91d787e91b,3,2377985.64,3
945bfb4b,3,22633.00,3
135f7d9a,1,0.00,3
676617bfd787e91b,1,0.00,3
1cf297161f0bc64f,1,0.00,3
b0ae0c3c5096d134,1,0.00,3
159fec9ef0e794f8,3,119298.55,3
086ef6707294839b,1,0.00,3
1768692a,1,0.00,3
6a331ab799e138b7,1,0.00,3
e8197b41779d90c2,1,0.00,3
10dcdfb184ebbcd4,1,0.00,3
6b9769f284ebbcd4,2,41122.38,3
967feb5fffe69079,1,0.00,3
3daeb4c099e427c9,1,0.00,3
1a0abc71b50d2bf4,1,0.00,3
43d7cd560d2aee01,1,0.00,3
5db4740d,1,0.00,3
97cc16d34ceb2e0b,1,0.00,3
57cd40062203a096,2,24790.09,3
ef5664fba5bce124,1,0.00,3
884297d284ebbcd4,2,41122.38,3
1455a567fd1ab1f0,1,0.00,3
15f03eed6332421a,2,24790.09,3
7acdf22105e70df4,1,0.00,3
85fd459c8571106b,2,41122.38,3
168a6f4cecb851b2,1,0.00,3
bd302e3cc6263d8a,1,0.00,3
7181509e,2,11317.00,3
0489ce3fcab7ad1c,1,0.00,3
3c4cc6365db079b5,1,0.00,3
947a0baf3bd9e8e7,1,0.00,3
d2ee724ca0f5f879,1,0.00,3
9b36c2fdc6263d8a,1,0.00,3
70c8dfa77abbbd5c,1,0.00,3
12682c00553f099b,1,0.00,3
6b9769f2c144e605,2,24790.09,3
a89f0069e981565c,1,0.00,3
ec165bff4ea23a13,1,0.00,3
ef640ee1c6263d8a,1,0.00,3
f32f0621c6263d8a,1,0.00,3
c9263976a0f5f879,1,0.00,3
3fdf9dde1b13b020,2,11317.00,3
4773b8f67fdd04d2,1,0.00,3
b6d9dc166332421a,1,0.00,3
a8546a2d,3,3.00,3
f9376c54aad45b01,1,0.00,3
3bd5ecef553f099b,1,0.00,3
98aab72df5267723,2,53386.09,3
1289188b60f13afb,1,0.00,3
accfd5e249ea3580,2,24790.09,3
473616bb4ceb2e0b,2,24790.09,3
57cd400681b42528,1,0.00,3
c656330884ebbcd4,2,41122.38,3
786f8ba6,3,3.00,3
c4543221779d90c2,1,0.00,3
a7870916,2,1.00,3
85fd459c84ebbcd4,1,0.00,3
0af9300f499c1d51,1,0.00,3
4618299a,1,0.00,3
74b08f1e36a30aeb,2,41122.38,3
26e526c81f0bc64f,3,345691.02,3
7936d4fd1f0bc64f,1,0.00,3
c31aabb08a4875bd,1,0.00,3
fa60eea0c144e605,1,0.00,3
35f3eece1f0bc64f,1,0.00,3
08f6a7a15ef191d3,1,0.00,3
0d280947a29a4df9,2,21678.65,3
5b8b7cd2900981af,3,15.40,3
1938eb858ce34352,1,0.00,3
c587779081b42528,1,0.00,3
1b27c61c128f4ba1,2,41122.38,3
0163631eaaffed8f,2,53386.09,3
0c63605a84ebbcd4,2,41122.38,3
d1442fba84ebbcd4,1,0.00,3
e0d6262b,1,0.00,3
7fa2bbf3ff065cf0,1,0.00,3
c2c809de3bd9e8e7,2,24790.09,3
c3d2e83556e6ab1d,1,0.00,3
673b66717abbbd5c,1,0.00,3
c35e25ba0eb711ec,1,0.00,3
a735ea22d787e91b,1,0.00,3
1d1614cd36d749e5,1,0.00,3
d79987f51f0bc64f,1,0.00,3
ea411a74158e4944,1,0.00,3
fea40965be87996b,1,0.00,3
e091d42ec144e605,1,0.00,3
96fa38e4ca136f4e,2,82.35,3
63f2544da8d2c4cf,2,21678.65,3
6b9769f2be87996b,2,57962.38,3
b8d6a1c2,1,0.00,3
f6fbb89461a97be8,1,0.00,3
f4eb1ae2a5bce124,1,0.00,3
4a5835e6225b180e,1,0.00,3
2addef9f2a5026a5,1,0.00,3
ea9edeb5711ee120,1,0.00,3
c01bf039d787e91b,1,0.00,3
1024c06a711ee120,1,0.00,3
616b607f779d90c2,1,0.00,3
baae93c58bfcd3c6,1,0.00,3
7ed30f6c57b3c6c3,1,0.00,3
3fc31814,1,0.00,3
902a16e28a4875bd,1,0.00,3
6dab8c2e0989142d,1,0.00,3
da5a9a3bd787e91b,1,0.00,3
693bff3e5096d134,1,0.00,3
f832adc60eb711ec,1,0.00,3
90137d9784ebbcd4,1,0.00,3
eaef88a4711ee120,1,0.00,3
65aee29b81b42528,1,0.00,3
99772e4b,1,0.00,3
80a7d203f3049821,1,0.00,3
5c28ed6936d749e5,1,0.00,3
5bdb551c4ea23a13,1,0.00,3
32e7ef510a10024e,1,0.00,3
3b71fb9ee981565c,1,0.00,3
2c5a2165,3,3.00,3
26af2ce32d6d7ae9,1,0.00,3
aa4e9915,1,0.00,3
c31911d6,1,0.00,3
02485c024ea23a13,1,0.00,3
d80641b984ebbcd4,1,0.00,3
7b616e7705e70df4,1,0.00,3
dcafa7e23bd9e8e7,1,0.00,3
4a5525dc383d6db1,1,0.00,3
e35126108b1aa260,1,0.00,3
6b9769f281b42528,2,24790.09,3
ff1c4f79711ee120,1,0.00,3
b126619dd25693ce,1,0.00,3
bcf1f1c784ebbcd4,1,0.00,3
5547bbde3bd9e8e7,1,0.00,3
618f6fc0,1,0.00,3
0ace04fa4ea23a13,1,0.00,3
488a9a3ea0f5f879,1,0.00,3
fec9a8a70eb711ec,1,0.00,3
2a153d933bd9e8e7,1,0.00,3
b67d7272,1,0.00,3
ff233ed681b42528,1,0.00,3
0467b2f8f87e93a5,1,0.00,3
64c7a363f39b265e,1,0.00,3
7d4540eb1ccc7835,1,0.00,3
7886bac4,3,3.00,3
5e382ba5,1,0.00,3
a8536f3aecb851b2,1,0.00,3
34ddb23fd056b4bf,1,0.00,3
95cf15691aa0e912,2,53386.09,3
4aee4c392203a096,2,53386.09,3
e46904e1553f099b,1,0.00,3
fe1dc06446d98882,1,0.00,3
6c93bdf394a6ac23,1,0.00,3
027955f66e1e2240,2,12023.18,3
82fa66689b5ce758,1,0.00,3
3f6a364a76dc4769,1,0.00,3
f437e3cb0eb711ec,1,0.00,3
8b7b0c7e1aa0e912,1,0.00,3
a6f86dd9945dd5c4,1,0.00,3
0489ce3fa0f5f879,1,0.00,3
6cdc4790d4527c28,1,0.00,3
26cfdac3d2680141,1,0.00,3
17aca5f3505731e4,1,0.00,3
52760bc9779d90c2,2,53386.09,3
693bff3ea4528ded,1,0.00,3
6cdc3f0436d749e5,1,0.00,3
cd37b321,2,1.00,3
ea03c57c,1,0.00,3
431b3174f39b265e,2,57962.38,3
cdf180a7d5db24c3,1,0.00,3
5ab7caf2d1b0c050,1,0.00,3
68d970a2a0f5f879,1,0.00,3
8a014cbb6332421a,2,24790.09,3
b603d0691ccc7835,1,0.00,3
e5a56b299c7b6730,1,0.00,3
a990c3c7c6263d8a,2,24790.09,3
40cbbbb41ccc7835,2,57962.38,3
4b4a40535096d134,1,0.00,3
1621376d1aa0e912,1,0.00,3
7180c04178d9bd10,2,24790.09,3
e5e625114ea23a13,1,0.00,3
cbbccee13bd9e8e7,1,0.00,3
61eac15d,3,3.00,3
07875ea4779d90c2,1,0.00,3
fc7c618a88fe1d5d,2,17901.30,3
0489ce3fecb851b2,2,24790.09,3
6bbcf261,1,0.00,3
dce83cbdc6263d8a,1,0.00,3
320223eb,1,0.00,3
a3d873bc,1,0.00,3
56e30b21277e7b8c,1,0.00,3
9b1fe2781ccc7835,1,0.00,3
1777f9ab6332421a,1,0.00,3
094823e65096d134,1,0.00,3
56823959c6263d8a,1,0.00,3
e8d44657779d90c2,1,0.00,3
dda3266576dc4769,1,0.00,3
e0774b5ea0f5f879,1,0.00,3
017d993c684581ce,1,0.00,3
1847ca91d787e91b,2,124377.00,3
b67b89479c7b6730,1,0.00,3
6ae0a0abe9b8d8d7,2,53386.09,3
c46b23405db079b5,1,0.00,3
79bb38ec,1,0.00,3
