Source,Target
25635c83,eddd1cf1
9eb9a972,c4e18dd6
5aa349271f0bc64f,f3845767
1cf29716a0f5f879,98572c79
07875ea424f6b932,f3845767
58115efb375c3d47,f3845767
e42a8f0284ebbcd4,98572c79
16df04d24ea23a13,7687a86e
858b7103d787e91b,f3845767
cee38188f07e20f8,c4e18dd6
b4a0ec643e7932d7,a9bba545
f717d0718a4875bd,f3845767
f3ecf4b71f0bc64f,c1aa3c04
01d995aa,c4e18dd6
c65633083bd9e8e7,f3845767
11232d291df52df3,27e3c518
06d5e7baecb851b2,f3845767
676617bf5096d134,f3845767
086ef670a5bce124,f3845767
4a48439ff51246a7,c4e18dd6
e3404dc736a30aeb,98572c79
292490a02c85d13a,c4d600ad
e1a589b1be6db1d7,449497bc
42545ab6,c4e18dd6
bc7f94718b1aa260,f3845767
ef8cc3244ea23a13,f3845767
093fa1945096d134,f3845767
87e12f0ae981565c,7e091613
9d78a9fd8a4875bd,968765cd
6a15f2432ea4f8ba,c4e18dd6
9e1268de2203a096,f3845767
70d97ece,c4e18dd6
4dcfa38a711ee120,7195bdd6
a28e45351f0bc64f,c4e18dd6
9b16a9e7c144e605,7687a86e
2e23893f84ebbcd4,7687a86e
8885557f,c4e18dd6
38f99557711ee120,f3845767
00defbe7cabc6075,c7ca3108
41c0cb104ea23a13,98572c79
a2d72242cdf6ea96,28f93029
5b1ca1ad8a4875bd,9b421927
233d92207fdd04d2,f3845767
76e48bb981892725,0dde25ec
bca8f26da0f5f879,f3845767
b09da1c4,c4e18dd6
0489ce3f6c247d18,f3845767
9b8453551f0bc64f,f3845767
9ec6c307d6361d58,f3845767
37b3c191f87e93a5,f3845767
f1d4ec1f44801bc1,f3845767
b9cfd01cf50d4405,c7ca3108
579f63fe9bbdb88c,0a4015b2
4d4b066a93dd64c2,c4e18dd6
59ac940d1f883dc7,f3845767
e9602cc13bd9e8e7,98572c79
a8536f3a8a4875bd,98572c79
884297d2711ee120,f3845767
57bce7c6d787e91b,c7ca3108
ffd631591aa0e912,f3845767
f18543190bc44f2a,c4e18dd6
372c8632edead9f4,f3845767
a16dc7d2711ee120,f3845767
6c3237d53e7932d7,0dde25ec
d739aabc158e4944,7e091613
55374dc84ea23a13,f3845767
ad01f018ab7af0af,7e091613
ee83d7d938fa23d7,c4e18dd6
366a1ae815dc77b3,c4e18dd6
444e84601b01c4ed,17d996e6
9b1fe278c144e605,f3845767
d8a065073de05cb4,f3845767
e0944c0d,c4e18dd6
152015e2d17a0181,f3845767
e0859b3faa878c01,d733bbc3
25ee21fb900981af,f436b08f
aa42be81f07e20f8,f3845767
71c78775711ee120,f3845767
42c5f62dd4527c28,f3845767
c65633080eb711ec,f3845767
dcde964b36d749e5,f3845767
88d004bc1f0bc64f,f3845767
1b03d09d1f0bc64f,dffed5f8
06f103cf4ea23a13,f3845767
689ad7fa,c4e18dd6
143cc47c4ea23a13,f3845767
693bff3e1f0bc64f,f3845767
1db2b7830eb711ec,fa27bac1
676617bf6332421a,f3845767
afba1ece57ee8b44,5c9ae867
68dfcad37ac6007f,f3845767
233ecd0b,c4e18dd6
3c1cd7ebc6263d8a,98572c79
b55a181344c701de,7d05db75
9b1fe278ff065cf0,f3845767
8f50deba8a4875bd,7e091613
4605a1ae0eb711ec,f3845767
7a638e2c,c4e18dd6
3332d30096b83ebe,c7ca3108
d06d6f324ea23a13,f3845767
a5a696cd8a4875bd,f3845767
6c0de004ef726eae,98572c79
aba5de94d787e91b,0dde25ec
7d496c8d1f0bc64f,98572c79
58114ff9f87e93a5,7687a86e
ceffea697ac6007f,f3845767
67b4ace8aaffed8f,f3845767
15f43ea076dc4769,0dde25ec
90dc724d2203a096,f3845767
3efbce9c945dd5c4,e16ceb4b
6aa729b51f0bc64f,f3845767
e1a589b1be6db1d7,449497bc
6b3a5479900981af,28b9656a
734c6e938a4875bd,61eb5bc4
89797731034b811d,7e091613
95b2935e8a4875bd,98572c79
c313d5f6fbec56bc,f3845767
89da1df3d17a0181,f3845767
ec0dfd3d8b1aa260,98572c79
ce8180a184ebbcd4,98572c79
97a3901e5db079b5,f3845767
2970589e3bd9e8e7,f3845767
c2f0f7f18a4875bd,f3845767
5272502d,c4e18dd6
59ac940d779d90c2,f3845767
e1576d19eee53df3,e16ceb4b
3cb460902891f384,c4e18dd6
9cf7055695a0fb49,759d1c56
199de9ce99e427c9,c4e18dd6
5a037cf836d749e5,f3845767
2cdf4caec4cff2ea,7687a86e
bf408018,c4e18dd6
b0070d9a4ea23a13,c4e18dd6
567b3c9d900981af,bfa24f16
0489ce3f4ea23a13,f3845767
c40d648b36d749e5,f3845767
6fb6501804f5b394,98572c79
1a357d04be74e6fe,132080af
40e2ce1836d749e5,f3845767
f56cdd2424f6b932,7687a86e
b1c20f9384ebbcd4,7687a86e
4c3e57418b1aa260,f3845767
1cf297167abbbd5c,f3845767
07875ea4f07e20f8,f3845767
02fb356effe69079,61eb5bc4
15340e5af1937c53,c4342784
af93f2d3,c4e18dd6
e528aec244801bc1,f3845767
231a06233bd9e8e7,f3845767
128f22c2d787e91b,c4e18dd6
16bec85024f6b932,f3845767
67ed6d160eb711ec,c4e18dd6
15221e075096d134,f3845767
358c73a302635b69,c4e18dd6
faf3b34a445fefd5,c4e18dd6
ddd2926e1f883dc7,f3845767
6b9769f26332421a,f3845767
5b86ed253bd9e8e7,f3845767
d42a0acc8a4875bd,7687a86e
6b4040e61f0bc64f,f3845767
040a0104a5bce124,f3845767
7dbada6ec5cc73c1,f3845767
2b2270a1cd2acf54,7e091613
50a386e795a0fb49,172a0915
32fdf8ff84ebbcd4,71ed77a0
8c75fa583bc980aa,98572c79
eecd09457abbbd5c,b5188ae6
680209c5711ee120,f3845767
3c83ef113bd9e8e7,f3845767
720f9a0b7abbbd5c,c7ca3108
5da0b8747ac6007f,f3845767
838440cbbe6db1d7,7687a86e
487644301c6a881d,c4342784
be55fdba,c4e18dd6
7b8bc15324f6b932,f3845767
e60919cbf5267723,98572c79
5989ecc6836743c6,7d05db75
de8b7e1d597f7364,c4e18dd6
bfbff435fbec56bc,98572c79
0c8a8801c144e605,f3845767
a8536f3a1f0bc64f,f3845767
da1398355db079b5,f3845767
ce11f2e6ecb851b2,f3845767
62c33221a0f5f879,f3845767
2c2f77807dc3b26e,f3845767
20e1514a05e70df4,7687a86e
a12ecac2d787e91b,f3845767
f752a51105b9fa1b,c4e18dd6
b2927d9999e427c9,c4e18dd6
2c628a5776dc4769,f3845767
e1247f7984ebbcd4,7687a86e
8eb5174384ebbcd4,7687a86e
a5a65107fce66524,6b560cc1
04c4e6524c8aeb60,f3845767
e4cb4bedd25693ce,f3845767
0771e19b16954458,f3845767
3d7fa1465096d134,f3845767
488a9a3e1f0bc64f,f3845767
e05297ae84ebbcd4,7687a86e
6fe78038711ee120,98572c79
7bc4bd4599e427c9,c4e18dd6
488a9a3e44801bc1,f3845767
4886ae6c,c4e18dd6
5f8698552203a096,f3845767
dfa9dec4711ee120,28f93029
944f704d04f5b394,f3845767
b161a5a836d749e5,f3845767
e317838f,c4e18dd6
6b9769f2aaffed8f,f3845767
9211aa3b8a4875bd,f3845767
f21277af7abbbd5c,c4e18dd6
75ca5372e9b8d8d7,f3845767
f7a8afed8a4875bd,f3845767
52e58011d4897fef,510bd839
4530455c36d749e5,f3845767
33b1027fdc739d1a,e16ceb4b
521e5438,c4e18dd6
ddd2926e711ee120,f3845767
6b9769f23bd9e8e7,f3845767
32775065258601f8,f3845767
6e67cc0a8a4875bd,f3845767
6d5ca397c4cff2ea,f3845767
16cffc2cd787e91b,f3845767
d6e5e0f4c6263d8a,f3845767
cb7a5e25d25693ce,f3845767
520268730153a639,98572c79
8dfe94eea5bce124,c4e18dd6
d084eed436d749e5,f3845767
c2f0aa49d787e91b,7687a86e
dc91c5b19b7ee94c,16a36ef3
ceffea697eef184d,f3845767
607d33d599115329,f3845767
a1230d808a4875bd,f3845767
5ea332df4ea23a13,f3845767
2c3fcd823bd9e8e7,7687a86e
4b02faaabe87996b,f3845767
afa0fe27c6263d8a,98572c79
f2e9b0ab0bc44f2a,e16ceb4b
6cd41d2e0bc44f2a,e16ceb4b
d3a5304e1ccc7835,98572c79
8a13ca66bf160cf9,f3845767
6444e21181b42528,f3845767
d857ffbb,c4e18dd6
f1bdb544272ca818,e16ceb4b
f2e517625096d134,449497bc
2d50f3339c2dcec3,f3845767
3827a7e11f0bc64f,e16ceb4b
c078a9f4c6263d8a,f3845767
bf858ca13bd9e8e7,f3845767
a8139dc3d787e91b,7e091613
5a676570711ee120,f3845767
afbe499fd787e91b,f3845767
dfb2a6460989142d,98572c79
4ba8c4a694a6ac23,f3845767
e2ce62618e85a0ef,6b59f079
9e8d6b5146d98882,bb1ef334
e94347fd,c4e18dd6
d443f6a5ae5e1424,c4342784
617a3c562203a096,f3845767
80beab9b77f57365,7e091613
3bf4bef61efdbca1,c4e18dd6
38ca6f9d0d2aee01,c7ca3108
d292420436a30aeb,98572c79
302f4cc4c6263d8a,7687a86e
0b61bc5e711ee120,f3845767
d97d7a6d5096d134,f3845767
d96af3407e4efdcd,6b560cc1
077de38384ebbcd4,7687a86e
18246a01,c4e18dd6
30eb46aed4527c28,a9bba545
c76ba12c711ee120,f3845767
9e3ee347d787e91b,f3845767
3e84da36711ee120,f3845767
6981f69b23885c9e,f3845767
625c3d26,c4e18dd6
4a86e0958a4875bd,f3845767
693bff3e6c247d18,f3845767
bb135ff9f51246a7,c4e18dd6
1d1b00c936d749e5,f3845767
a0803dffc6263d8a,f3845767
196c2d2bf39b265e,f3845767
c3cd643cfce66524,f3845767
bca8f26dcd5b1559,f3845767
0e524039c34157bf,7687a86e
c0eecf7dc9e27f06,7e091613
a699e4471ccc7835,58a89a43
6cb4b1131f0bc64f,f3845767
fc77b55536d749e5,f3845767
29cc688fa5bce124,f3845767
09b19f1676dc4769,f3845767
24236cc3c464aa46,f3845767
a61971984ea23a13,7e091613
a8139dc3d787e91b,7e091613
1d295e4ad787e91b,c4e18dd6
ea94f0411f0bc64f,c4e18dd6
d4ae3b271f0bc64f,f3845767
f721990d,08facbad
794f202cd8c5833a,b9c4ab81
6444b32c0153a639,f3845767
218f13be44801bc1,f3845767
d9c87773711ee120,7687a86e
d1f100094ea23a13,7e091613
448e6432d25693ce,98572c79
778ea627c6263d8a,f3845767
ddd2926eaaffed8f,f3845767
7a94005c,c4e18dd6
93c5e60a5b799d60,c4e18dd6
6c28d79d0eb711ec,98572c79
3e8fe7430fadd2fe,e16ceb4b
1c204ce3897aafd7,f3845767
6845823a779d90c2,9b421927
5e36ed0076dc4769,98572c79
23384954a5bce124,f3845767
5aa349271f0bc64f,f3845767
488a9a3eb50d2bf4,f3845767
76e48bb981892725,510bd839
ac6c5a0c89416188,449497bc
372c86320eb711ec,f3845767
9fb2c97e2f23688b,7687a86e
83549dc11aa0e912,f3845767
23a11a0ec6263d8a,f3845767
c13faae7275fc61c,c4342784
7bcf96f2293291c1,5baa6f69
1648a222d787e91b,c4e18dd6
3a6a92dca8735f2a,c4e18dd6
630157a15096d134,f3845767
6fdf1afaa5bce124,f3845767
470f78e333c9c797,c7ca3108
51e112d38a6685fe,6b560cc1
ddd2926ef39b265e,f3845767
98bbd89f4ea23a13,c4e18dd6
37b36f4a711ee120,f3845767
91f75b865096d134,f3845767
951ea297be6db1d7,16a36ef3
d97d7a6d73b4563d,f3845767
b761b0b6711ee120,f3845767
3de951f9a5bce124,f3845767
8619eef2ab59d54e,c4e18dd6
f44a9312,c4e18dd6
8d61d7eb,c4e18dd6
2bea4ad8d787e91b,603097a9
ac3b51b90f086703,f3845767
c608e669,c4e18dd6
c2a8073576dc4769,968765cd
2cb5f29ec6263d8a,f3845767
7eeac9617dc3b26e,f3845767
3e63b4ddd787e91b,f3845767
c357dbff,c4e18dd6
0905786e3bd9e8e7,f3845767
e6cd19401f19f849,7e091613
5ad043914c8aeb60,f3845767
3eab8fbba0f5f879,98572c79
f47c6c57258766e2,e16ceb4b
d407f2def39b265e,f3845767
6058a0275dee1d65,7687a86e
c754946704258293,3f2f3819
59c81ad681b42528,08ba7db9
f04d3db11aa0e912,f3845767
023ca1f9,38b1b595
db076e7f56cfb4f8,7e091613
cd8c096f1aa0e912,7687a86e
fd0a212a,c4e18dd6
eeba6ca91f0bc64f,f3845767
83dd41b9779d90c2,a434fa42
c76ba12c1df52df3,f3845767
a241fd4e36d749e5,f3845767
d0c370973bd9e8e7,f3845767
0345634376dc4769,f3845767
9b1fe2780eb711ec,98572c79
38b2b68f1f883dc7,f3845767
ef248578,6feccaf4
6f48700cbe6db1d7,b34a5cfb
f65422d1be74e6fe,98572c79
bc28b7831f0bc64f,16a36ef3
6527330181b42528,f3845767
ef8cc3244ea23a13,f3845767
7013c2fbedead9f4,17d996e6
7d478c4961b7308b,c4e18dd6
cd7484f18571106b,7687a86e
c4b1d39044801bc1,f3845767
6998ef5b8a4875bd,f3845767
4ddd2e91d787e91b,f3845767
e54c13445db079b5,945bfb4b
e09adcd2f39b265e,f3845767
a8536f3ac144e605,f3845767
dd19579949ea3580,98572c79
ebff18c413d33e5c,968765cd
6fdf1afa44801bc1,f3845767
ec85319436d749e5,f3845767
25d485d881b42528,f3845767
fa24a7cb05e70df4,7687a86e
f08ee487d787e91b,c7ca3108
9c825afa,4c26e9ba
5f702994eb1b1065,f3845767
3e7d37fa16954458,c4e18dd6
e973c82468b900d9,7687a86e
07875ea48a4875bd,f3845767
e56076648a4875bd,f3845767
240b051584ebbcd4,98572c79
55f9291376dc4769,16a36ef3
22e1481e158e4944,98572c79
90f7639e9dcb1cd1,f3845767
159db7967a044878,7e091613
8f180b7814c754ae,7e091613
77f11de7ef726eae,7687a86e
99e3755fd787e91b,863fa89d
bb88cf6bbe6db1d7,7687a86e
135f7d9a,c4e18dd6
5fbba533d787e91b,f3845767
666ef65036c6b1de,f3845767
89b3e25f779d90c2,71ed77a0
6b9769f28a4875bd,f3845767
fcf9d53607d76b42,c4e18dd6
676617bfd787e91b,f3845767
0ee5b2866332421a,f3845767
0ac5779986030d43,16a36ef3
3332d30096b83ebe,c7ca3108
6af7e27b50a85b97,5c9ae867
75bb1b5881b42528,f3845767
fe4b49733bd9e8e7,f3845767
1cf297161f0bc64f,f3845767
4bf975b2bc8913e3,c4e18dd6
a40cdbe6ecb851b2,98572c79
f52aee5e4af5f36a,7e091613
eb66ee6544801bc1,f3845767
6df650f636d749e5,f3845767
8a014cbb711ee120,f3845767
ae85b618096b3b20,7687a86e
4b528c17277e7b8c,98572c79
e920a36faaffed8f,f3845767
37342d1cd787e91b,f3845767
ae42194b900981af,6eb534a7
19f40e4a900981af,060c1a43
93b03819,c4e18dd6
8c4cd63b1f0bc64f,c4e18dd6
36874c7fc136b9bf,7687a86e
f1a0be78d787e91b,98e6755b
b0ae0c3c5096d134,f3845767
95b2935e84ebbcd4,7687a86e
79dab01b5096d134,f3845767
f648ce4584ebbcd4,7687a86e
bc572e10be87996b,f3845767
9b1fe278d17a0181,f3845767
2e7d4b65,1e0acfb4
8915307f84ebbcd4,b9c4ab81
1533710f5e42d307,c7ca3108
189c8ef5c6263d8a,f3845767
ff1e06005b1faad5,c7ca3108
7d2e50ec900981af,45368af7
a7f4411d711ee120,f3845767
938f494b,c4e18dd6
ab55a5d21df52df3,6b560cc1
e1a589b1be6db1d7,449497bc
49b253c1d787e91b,7687a86e
59675e9a99e427c9,c4e18dd6
4c80791f744ae245,7687a86e
a37c2ba0779d90c2,7e091613
2198d47c6332421a,f3845767
b31e2c3bd787e91b,3f2f3819
be88de62d787e91b,f3845767
c50363f4c464aa46,f3845767
099b60235096d134,f3845767
b432a37e553f099b,f3845767
deb66f0c779d90c2,c4e18dd6
2062f8471aa0e912,98572c79
a6df415dbc8913e3,f3845767
f0cb1a57aaffed8f,f3845767
52eaacbe8a4875bd,f3845767
466ea60b99e427c9,c4e18dd6
e651d9de,c4e18dd6
699f69bd39952442,28f93029
beef9b283b9d5d3c,98572c79
8db90008aad45b01,c4e18dd6
e54c13445096d134,f3845767
3f7ca413a5bce124,7687a86e
fddcd03f0eb711ec,16a36ef3
488a9a3e18d8fb90,27e3c518
e3e993c3c315c67b,c4e18dd6
e907aa8c95a0fb49,17d996e6
d0075889047b3d4d,91cdcccd
325b1a8705b9fa1b,c8223ee3
159fec9ef0e794f8,7687a86e
c6563308ff065cf0,f3845767
f3fe16fe1f0bc64f,7687a86e
ecdf3ecb9fef9da8,7687a86e
30aac424c6263d8a,f3845767
16302eba8b1aa260,f3845767
d87b278e4c8aeb60,f3845767
3e488f76711ee120,6225315b
c65633084ceb2e0b,f3845767
cb62822ee3bb76b5,510bd839
75bb1b58f39b265e,f3845767
57cd4006edead9f4,f3845767
086ef6707294839b,98572c79
5d6c55a381b42528,f3845767
bf73f8707feb67f8,3f2f3819
79c59fb22203a096,f3845767
8317b629d6e0e6ff,c4e18dd6
0e388a44,c4e18dd6
de3dcbe0c6263d8a,f3845767
31498d82182e4a19,27e3c518
20b18b11158e4944,24b63505
0489ce3fc144e605,f3845767
07875ea48d19d3d4,f3845767
1768692a,c4e18dd6
ce71b050,38b1b595
07875ea416954458,f3845767
a8536f3a84ebbcd4,7687a86e
85033c0007d76b42,c4e18dd6
413207f4be87996b,c4e18dd6
57cd4006ab4085d5,f3845767
9b4418c21f0bc64f,f3845767
fa4daf31be6db1d7,c4e18dd6
6a331ab799e138b7,7e091613
e8197b41779d90c2,f3845767
1ea335bb7abbbd5c,7e091613
bca8f26d711ee120,f3845767
ac77b71a711ee120,f3845767
aa345a25779d90c2,16a36ef3
0272e649,c4e18dd6
c6cb1d6de4d304c6,c4e18dd6
156c3d5576dc4769,16a36ef3
d220a9e1daa861e9,17d996e6
a913424da0f5f879,f3845767
95b4229c04f5b394,f3845767
0e2a519bedead9f4,f3845767
7207293ad787e91b,c7ca3108
10dcdfb184ebbcd4,7e091613
47f968fc04f5b394,f3845767
efadb41d6332421a,f3845767
6b9769f284ebbcd4,7687a86e
cf8e9ed77abbbd5c,7e091613
57e9c682a5bce124,c4e18dd6
7c25ee19553f099b,f3845767
84b737211f0bc64f,f3845767
967feb5fffe69079,c4e18dd6
3daeb4c099e427c9,c4e18dd6
b58f3e94c6263d8a,f3845767
30ac182ac6263d8a,f3845767
66dfbbbbc6263d8a,7687a86e
feb189df1f0bc64f,f3845767
3885601c553f099b,f3845767
9aaa6f78a0f5f879,f3845767
c5219b1d05566ad2,0dde25ec
3ff3bee9d787e91b,f3845767
fc60d5c576dc4769,f3845767
27152a8c1f0bc64f,f3845767
042f6f01d787e91b,f3845767
07b50050,c4e18dd6
035efb0e8a4875bd,968765cd
0289c0598a4875bd,968765cd
f2d0a197f37ed101,945bfb4b
64966cbb36d749e5,f3845767
eb141943711ee120,f3845767
0f8c51630dedddc5,c4e18dd6
58000087,c4e18dd6
ceffea69375c3d47,98572c79
cc23c35b8a4875bd,f3845767
a98e3a73d787e91b,c7ca3108
810c96c8ef726eae,c4e18dd6
2fa5489f,c4e18dd6
6b5c0e3bcd5b1559,c4e18dd6
7add7578f3776ac6,c4e18dd6
ddcf2b70375c3d47,28f93029
0a6b79967294839b,f3845767
cbb741e92203a096,f3845767
d69cfb2224f6b932,f3845767
a1dc6eb1900981af,f43e535b
9b248c0484ebbcd4,7687a86e
b441c41f,c4e18dd6
a530b4401f0bc64f,f3845767
109394e3f4fffcd0,c4e18dd6
876e66015d7f83d0,7e091613
bec0ee85fce66524,fed83882
d14bac23158e4944,f3845767
1a0abc71b50d2bf4,f3845767
efbf7eefa1421f9a,c4e18dd6
f3471db94ea23a13,f3845767
372c8632108af550,98572c79
c7d28e0e5096d134,f3845767
43d7cd560d2aee01,c7ca3108
38bd8f901f0bc64f,4b23d058
5a9a7d1a,93ab6716
884297d281b42528,f3845767
07875ea45096d134,f3845767
004b4a39d787e91b,c7ca3108
f4a75c10,16a36ef3
5a86f0d3a80eb5d7,f3845767
20dc3401d34f4c90,7687a86e
05b6cfff711ee120,f3845767
5db4740d,c4e18dd6
97cc16d34ceb2e0b,f3845767
619eb46ca80eb5d7,c4e18dd6
fb93b971e9b8d8d7,7195bdd6
88a1043776dc4769,c4342784
28b1fd6f5096d134,f3845767
6b60d4188a4875bd,272c5d9d
285a901536d749e5,f3845767
1854bf3cd17a0181,f3845767
57cd40062203a096,98572c79
4767bd16d787e91b,f3845767
0ea7f50f1f0bc64f,f3845767
f29559d6,c4e18dd6
2a32a3ca,c4e18dd6
ef5664fba5bce124,f3845767
a6fcfe1d76dc4769,7e091613
00e3c9a61f0bc64f,c4e18dd6
80406c52158e4944,f3845767
54c664bfd787e91b,c7ca3108
a9ea75c04ea23a13,f3845767
3d86e2b4,c4e18dd6
e3d88f666332421a,f3845767
9b1fe27884ebbcd4,7687a86e
3433c63289416188,7256c623
2e232c2bbe74e6fe,bc63ea42
8af56d94fe18eef5,e16ceb4b
2124f4ba4ea23a13,660aeadc
3b9ab74d,c4e18dd6
0cdd09861ccc7835,510bd839
b0d92630d783ff51,98572c79
884297d284ebbcd4,98572c79
eeb169da93347b0a,e16ceb4b
8cbef0cf5db079b5,7687a86e
d9a4ffad24f6b932,f3845767
0fd1ae836f1a5911,f3845767
febeb42aa0f5f879,7687a86e
c6563308aaffed8f,f3845767
1455a567fd1ab1f0,98572c79
3a8ddff68a4875bd,968765cd
2f5b0824ec70c4e0,c4342784
64a0aef4f0e794f8,f3845767
15f03eed6332421a,f3845767
c943078e1f0bc64f,f3845767
5b7af2a63bd9e8e7,f3845767
62e4bf97c723c84b,c4e18dd6
08427d0834693d77,7687a86e
b8e2ba91,c4e18dd6
1bf2af9281b42528,f3845767
d391037276dc4769,f3845767
3e8d0770fc9d9423,449497bc
e76cdc08c6263d8a,f3845767
6b2e114c4ea23a13,f3845767
24dbae83,a59d3b0e
7acdf22105e70df4,7e091613
a14b3c8b,c4e18dd6
779e4c8318d8fb90,f3845767
56895773,08facbad
9caa6d478a4875bd,98572c79
0d169460684581ce,98572c79
268eb2ad61b7308b,c4e18dd6
346295ba4ceb2e0b,f3845767
b9e953ad2203a096,f3845767
db825195ff065cf0,7687a86e
895061978a4875bd,f3845767
59e64d3876dc4769,7e091613
cc16051ebfa15b14,17d996e6
9af87478,c4e18dd6
6b9769f28a4875bd,98572c79
3a36497949ea3580,7687a86e
8acb1161be87996b,f3845767
85fd459c8571106b,98572c79
8bb134eeb78e6543,f3845767
168a6f4cecb851b2,f3845767
207b23662203a096,98572c79
e346e41ad787e91b,c4e18dd6
3a335d23,4c26e9ba
ed0e6e38a8d2c4cf,f3845767
94c8d789a6403763,f3845767
bd302e3cc6263d8a,f3845767
6fe78038edead9f4,f3845767
7fb885a04ea23a13,c4e18dd6
0f46e84736d749e5,f3845767
7181509e,e2d2193d
422a447f4ea23a13,f3845767
8ca184cfb4c772f2,7687a86e
cbece937158e4944,7687a86e
215a2e5236d749e5,f3845767
e390f3e51f0bc64f,f3845767
72ae33b205e70df4,7687a86e
876e6601d34f4c90,7e091613
eb097b21,c4e18dd6
f4e7770da0f5f879,f3845767
114f30aebfa15b14,bb1ef334
d3a5304e1ccc7835,98572c79
db14df35779d90c2,e16ceb4b
03032dbabe74e6fe,f3845767
0489ce3fcab7ad1c,f3845767
5e2ae04f0eb711ec,7687a86e
57cd40066332421a,f3845767
562012ad711ee120,f3845767
569f47791f0bc64f,db7a8013
e0d6ddbbc144e605,f3845767
8650a30fbe6db1d7,17d996e6
8bc69560779d90c2,f3845767
f0a89f228a4875bd,16a36ef3
fa1ec235779d90c2,f3845767
4566a9088a4875bd,510bd839
1330ae7dd1f97bd7,0dde25ec
0f456610d787e91b,7687a86e
a4eb97bd4ea23a13,98572c79
52c4a9771ccc7835,f3845767
87edf84581b42528,98572c79
533311f1779d90c2,7687a86e
57cd40068a4875bd,f3845767
9cb00b6584ebbcd4,7687a86e
9195097f160b211b,c4e18dd6
83a07a5dcd5b1559,c4e18dd6
2b1e7f721f0bc64f,449497bc
3373f782,c4e18dd6
741ccfbb7b75d3a6,c4e18dd6
971c25a31aa0e912,f3845767
8f805639,c4e18dd6
ff715121f39b265e,f3845767
8fbe59c6f910cbcb,08ba7db9
bf0abdfa,4c26e9ba
c95bf573,c4e18dd6
f71ce43decb851b2,f3845767
3cd0f5410eb711ec,f3845767
3c4cc6365db079b5,f3845767
cab29a0c8bfcd3c6,c4e18dd6
